frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attacker,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,,,,,,RR,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RWB,R,,,,,,,,,,,,
13,DC,2/18/16,12:15 PM,11,2,GYG,7,0,GYG,G,,L,7,RWBl,G,, -GG,,,,,,,,0,,
,,,,,,,,,GY,R,TP-R,L,,RYBl,G,, -RYG,R,WEB,,,,,,,,
,,,,,,,,,GW,R,,H,,GB,G,, +GG,,,,,,,,,,
,,,,,,,,,GG,R,TP-R,H,,RWB,G,, +RYG,,,T,,,,,,,
,,,,,,,,,RYG,R,,L,,GBR,G,,,,,,,,,,,,
,,,,,,,,,GYW,R,TP-R,H,,RB,R,,,,,,,,,,,,
,,,,,,,,,GWY,R,,H,,RR,G,,,,,,,,,,,,
13,DC,2/19/16,2:30 PM,12,2,GYW,9,0,GYW,G,,L,7,GYR,R,, -GY,,WEB,,,,,,0,,
,,,,,,,,,RYR,R,TP-R,H,,GBl,R,, +GY,,,,,,,,,,
,,,,,,,,,GY,R,,,,RWG,G,, -GW,,,,,,,,,,
,,,,,,,,,GW,R,,W,,GYG,G,, -GBW,R,,,,,,,,,
,,,,,,,,,GBW,R,,L,,GBG,G,, +GBW,,,,,,,,,,
,,,,,,,,,RW,R,,W,,UNMARKED,G,,,,,,,,,,,,
,,,,,,,,,RWBl,R,TP-R,AB,,GWG,G,,,,,,,,,,,,
,,,,,,,,,GBY,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,H,,,,,,,,,,,,,,,
13,DC,2/20/16,2:49 PM,13,38,GBW,5,0,GBW,R,TP-R,L,3,GYR,G,, -RWBl,,,,,,,,0,,
,,,,,,,,,RYG,R,TP-G,AN,,RBl,G,, +RWBl,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,GY,G,, -UNMARKED,,,,,,,,,,
,,,,,,,,,RWBl,R,,L,,,,, -GYBl,,,,,,,,,,
,,,,,,,,,GYBl,R,,W,,,,, +GYBl,,,,,,,,,,
13,DC,2/22/16,2:09 PM,14,26,GBl,4,0,GBl,G,TP-G,L,6,RYBl,R,,,,,,,,,,0,,
,,,,,,,,4,GYR,G,,L/AB,,RY,R,,,,,,,,,,,,
,,,,,,,,6,GWY,G,TP-G,L,,GBW,R,,,,,,,,,,,,
,,,,,,,,,GWR,R,,AB,,GYBl,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GG,G,,,,,,,,,,,,
,,,,,,,,,,,,,,GYG,G,,,,,,,,,,,,
13,DC,2/25/16,2:46 PM,15,25,RBl,9,0,RBl,R,,L,4,RWB,R,, -RBl,,,,,,,,0,,
,,,,,,,,,GYBl,G,,T,,GY,G,, +RBl,,,,,,,,,,
,,,,,,,,,RWR,G,,L,,RYR,G,, -RBL,,,,,,,,,,
,,,,,,,,,GWY,G,,H,,RYG,R,, -RWR,,,,,,,,,,
,,,,,,,,,RWG,G,,L,,,,, -RWG,,,,,,,,,,
,,,,,,,,,GWG,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GB,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
